trial,complexity,formation,numBusts,activeSlots,numCards,estCombos,capped,totalNodes,bestScore,maxRating,rcMode,rcUsed,ubRating,rcVsUb,ms,finalFoundAt,numImprovements,preset
0,scaled,4-5-1,2,9,14,7776,False,1553,137,92,auto,92,92,exact,10.699999999953434,10,1,1
1,scaled,4-1-2-1-2 (2),1,10,16,92160,False,17138,140,91,auto,91,91,exact,56.5,115,2,1
2,scaled,4-3-1-2,1,10,13,15552,False,1028,139,92,auto,92,92,exact,2.800000000046566,95,3,1
3,scaled,4-2-4,2,9,12,1512,False,326,129,89,auto,89,89,exact,0.8000000000465661,10,1,1
4,scaled,4-1-4-1,2,9,12,1728,False,300,133,89,auto,89,89,exact,1,10,1,1
5,scaled,3-4-1-2,2,9,13,28800,False,3254,137,91,auto,91,91,exact,9.600000000093132,1338,3,1
6,scaled,4-3-3 (3),1,10,16,27648,False,6505,139,88,auto,88,88,exact,17.100000000093132,679,3,1
7,scaled,4-1-3-2,2,9,15,54000,False,8505,134,93,auto,93,93,exact,27.800000000046566,239,2,1
8,scaled,4-2-4,2,9,13,3200,False,255,134,90,auto,90,90,exact,0.5,16,2,1
9,scaled,4-2-4,2,9,13,7200,False,999,133,90,auto,90,90,exact,5.7000000001862645,189,2,1
10,scaled,4-1-4-1,1,10,15,34560,False,3618,144,93,auto,93,93,exact,11.300000000046566,730,4,1
11,scaled,4-2-2-2,0,11,14,82944,False,2139,145,92,auto,92,92,exact,6.699999999953434,85,4,1
12,scaled,5-2-1-2,2,9,16,122880,False,23141,139,93,auto,93,93,exact,57.5999999998603,15286,3,1
13,scaled,4-3-3 (3),1,10,15,20250,False,1673,138,93,auto,93,93,exact,3.5999999998603016,17,2,1
14,scaled,4-4-1-1 (2),2,9,11,864,False,104,136,93,auto,93,93,exact,0.30000000004656613,10,1,1
15,scaled,4-3-3 (4),1,10,16,40500,False,7656,143,92,auto,92,92,exact,15.800000000046566,3998,2,1
16,scaled,3-4-1-2,2,9,12,34992,False,3151,134,91,auto,91,91,exact,8.300000000046566,10,1,1
17,scaled,4-3-1-2,2,9,14,84672,False,8713,136,95,auto,95,95,exact,29.699999999953434,890,3,1
18,scaled,5-2-1-2,2,9,14,7776,False,2937,135,90,auto,90,90,exact,7.800000000046566,54,4,1
19,scaled,4-5-1 (2),1,10,15,72000,False,8759,144,95,auto,95,95,exact,27,177,4,1
20,scaled,4-4-1-1 (2),0,11,13,58320,False,605,145,94,auto,94,94,exact,1.1999999999534339,55,2,1
21,scaled,4-2-3-1 (2),0,11,16,77760,False,6792,147,94,auto,94,94,exact,17.399999999906868,2814,5,1
22,scaled,4-2-3-1 (2),2,9,13,5376,False,634,136,90,auto,90,90,exact,1.5999999998603016,10,1,1
23,scaled,4-2-4,2,9,13,7200,False,783,137,94,auto,94,94,exact,1.5,10,1,1
24,scaled,4-5-1,1,10,13,12000,False,744,142,92,auto,92,92,exact,2.6000000000931323,11,1,1
25,scaled,4-3-3 (3),2,9,13,864,False,345,134,89,auto,89,89,exact,1.3999999999068677,214,2,1
26,scaled,5-4-1,2,9,14,21600,False,3536,135,91,auto,91,91,exact,6.899999999906868,214,3,1
27,scaled,4-4-1-1 (2),2,9,14,24576,False,2246,140,95,auto,95,95,exact,6,187,2,1
28,scaled,4-1-4-1,1,10,12,31104,False,1741,135,88,auto,88,88,exact,6.2999999998137355,11,1,1
29,scaled,3-4-2-1,2,9,13,36864,False,5228,136,94,auto,94,94,exact,8.399999999906868,2718,3,1
30,scaled,4-1-3-2,2,9,14,13824,False,2227,136,91,auto,91,91,exact,6.400000000139698,10,1,1
